id;cam
338;0.9231049
11049712;0.7363207
10285552;0.68236357
18006777;0.6640914
10616795;0.6505792
19192540;0.6278359
336;0.5905498
234;0.5905498
153;0.58934283
143;0.58825463
337;0.58825463
19259544;0.5738151
7637904;0.56947315
8791803;0.56824386
10285694;0.5574928
10700707;0.54997945
10433777;0.53191894
12283317;0.52330935
8273049;0.5232684
10289614;0.5166266
10452227;0.5130184
10332806;0.50976086
19313217;0.4970223
12756145;0.49632025
10447393;0.49234313
11530082;0.48692045
11534912;0.47726884
10346860;0.46916097
10630143;0.46403098
10332666;0.45706797
19305083;0.45533264
10650306;0.45066148
11287816;0.44899553
19314475;0.44256335
10445381;0.44146463
339;0.43424433
13162681;0.4322502
140;0.4268706
8851151;0.42295432
10413290;0.4213055
10363409;0.42029592
10289568;0.41770783
18307457;0.41435134
10629839;0.41362613
10349761;0.4129821
112;0.41239694
10333281;0.4120168
13244597;0.40959835
10285814;0.40861982
19322997;0.4014384
135;0.4008845
10464364;0.4004153
10384045;0.40018862
10484220;0.39993566
10434776;0.39988846
10285664;0.39835876
10337135;0.3969238
10394159;0.39271295
10297612;0.39202142
19290586;0.39007664
10641511;0.3873918
19156565;0.38717094
10285601;0.3858993
10345106;0.38427994
10648540;0.38146278
10040518;0.38069248
10608761;0.38054997
10297549;0.38036525
18657287;0.38027325
18423803;0.37973034
19334950;0.3767046
10295343;0.3745436
10285896;0.36909813
19136033;0.36728093
13151508;0.3667936
8754877;0.36648992
10408086;0.36574996
10327642;0.36564684
10285748;0.36237082
19333829;0.36183694
10286454;0.36174884
10285721;0.36102617
19257561;0.3606632
10285832;0.35814264
19212817;0.3572342
12017792;0.35684457
10596916;0.35293034
13372991;0.3512656
8770936;0.34776962
10642191;0.3453937
10392617;0.34378928
10297571;0.34351036
11303914;0.34244227
10285677;0.3404584
10297380;0.33640072
11984196;0.33596084
10531492;0.33584112
10379986;0.33574632
10345395;0.33211088
10616834;0.3278307
10411135;0.3274994
8618604;0.3274994
11324746;0.3274994
11315469;0.3274994
11306566;0.3274994
10334477;0.3274994
11304504;0.3274994
11282501;0.3274994
8752560;0.3274994
11646321;0.3274994
11742166;0.3274994
11314990;0.3274994
12699381;0.3274994
10652892;0.3274994
12684281;0.3274994
13040334;0.3274994
13097241;0.3274994
10200845;0.3274994
10642029;0.3274994
8880787;0.3274994
8931755;0.3274994
10494548;0.3274994
10466680;0.3274994
13025908;0.32550004
10611070;0.32214633
8511459;0.31371593
8717495;0.31286865
10416317;0.31170753
10153331;0.3093066
10975570;0.30664122
8458568;0.30577323
11433248;0.30550832
10425900;0.30184346
13162978;0.2994833
10417772;0.29883093
10417930;0.2979916
13244496;0.2952645
19266166;0.2940687
10439589;0.29364648
11384780;0.2927049
11610456;0.29107514
19272529;0.29039466
10285609;0.28988215
8457500;0.2854774
10332057;0.28094366
11425871;0.28068835
11303915;0.2789452
19203446;0.27734968
10298555;0.27711385
10608907;0.27649963
13276103;0.2746936
8480519;0.27361965
10626174;0.271742
8761398;0.2715698
11292079;0.2711265
11303918;0.27060392
13244249;0.26611823
11303920;0.26509058
10407484;0.26484406
10611769;0.26162395
10336772;0.25860527
10376670;0.2576847
11457786;0.257476
11745705;0.25404924
8930198;0.24942802
10800929;0.24749793
8511395;0.24659196
10334420;0.23495048
10347427;0.2194956
11646089;0.21603633
8222884;0.21551335
10643284;0.21214953
8802081;0.20337154
10411020;0.20305154
18746820;0.2030304
247;0.1951737
19227044;0.19507086
585;0.19219139
117;0.17899397
10643426;0.15985802
622;0.13926971
616;0.13926971
19192689;0.13809656
12107507;0.137429
637;0.13206114
10610858;0.11936207
12017827;0.11748825
18629173;0.10386196
10465649;0.07657017
152;0.0616322
155;0.057602003
10597029;0.0008510947
8530237;0.0
18620530;0.0
286;0.0
154;0.0
147;0.0
10700156;0.0
136;0.0
134;0.0
