id;cam
336;0.954082
234;0.954082
153;0.9522981
143;0.95038354
337;0.95038354
622;0.8331154
616;0.8331154
637;0.7757336
140;0.72686243
10297612;0.70091736
10285721;0.68343234
18006777;0.661131
11530082;0.62022996
585;0.5910412
10379986;0.5733558
338;0.5709017
12017792;0.55935514
11049712;0.5581689
10648540;0.5560167
7637904;0.5438643
10700707;0.5399662
10297571;0.53420115
112;0.5299871
10286454;0.5259077
12283317;0.52330935
19259544;0.51519054
8273049;0.5042807
8770936;0.49515837
11425871;0.49116057
10285748;0.4796192
18423803;0.47272944
8791803;0.47079214
10289614;0.4649685
13162681;0.44806314
19314475;0.44256335
18657287;0.43754226
10452227;0.43565875
10392617;0.4291112
10285832;0.42843235
10297380;0.42496035
8717495;0.4128403
10289568;0.40840903
19192540;0.40664792
13151508;0.39909935
10332806;0.3989269
11303914;0.39793783
10285552;0.39639995
19333829;0.3959943
10153331;0.39443022
10616795;0.38487715
10295343;0.38343042
339;0.38138026
8754877;0.36648992
19290586;0.3664324
10285814;0.36542666
11742166;0.35970736
13244597;0.35837144
10345395;0.35782164
19156565;0.35740528
19136033;0.3561235
8480519;0.35371888
13372991;0.3512656
10040518;0.34913552
19212817;0.3482603
10616834;0.34504053
11534912;0.34071478
10285664;0.34038603
11282501;0.33302367
11324746;0.33062774
10285601;0.33047825
8511459;0.3274994
10411135;0.3274994
10413290;0.3274994
10200845;0.3274994
18307457;0.3274994
13040334;0.3274994
10466680;0.3274994
11304504;0.3274994
12699381;0.3274994
13025908;0.3274994
13097241;0.3274994
10494548;0.3274994
10334477;0.3274994
19266166;0.3274994
10652892;0.3274994
19305083;0.3274994
10408086;0.3274994
12684281;0.3274994
10434776;0.3274994
8931755;0.3176211
135;0.3153569
10608761;0.31512785
10447393;0.31413555
19203446;0.31114635
11384780;0.3089978
11306566;0.3067178
12756145;0.30584848
11314990;0.30347785
19257561;0.3021113
10425900;0.30184346
11315469;0.30058423
10642029;0.30025497
11646321;0.2998728
13162978;0.2994833
10417772;0.29883093
10445381;0.29860577
18746820;0.2984594
10596916;0.29821923
10417930;0.2979916
8618604;0.29727393
13244496;0.2952645
13276103;0.2940535
10439589;0.29364648
10327642;0.29204676
19272529;0.29039466
10285609;0.28988215
10641511;0.28953642
10531492;0.28819948
10346860;0.28810826
8851151;0.28774774
10285677;0.28650913
10363409;0.28632927
10464364;0.286295
10416317;0.28592068
10333281;0.2856906
10484220;0.28529653
10332666;0.28482568
8752560;0.28333387
10297549;0.28157097
10337135;0.28124464
19313217;0.28117645
8880787;0.2811588
10975570;0.28087777
11984196;0.28044254
10629839;0.27885363
10298555;0.27711385
10642191;0.27402732
10611070;0.27368283
10349761;0.27352193
19322997;0.27307287
10626174;0.271742
10384045;0.2716137
10285896;0.2710636
13244249;0.26611823
11303920;0.26509058
10407484;0.26484406
10334420;0.26432452
10611769;0.26162395
10345106;0.26142263
11287816;0.26029974
10376670;0.2576847
10394159;0.2516748
10800929;0.24749793
117;0.24364524
11433248;0.24205388
19334950;0.24183528
8761398;0.23993218
8458568;0.23814023
8457500;0.2369096
10433777;0.23444736
11303918;0.22608654
11457786;0.22556753
10630143;0.22304034
11610456;0.22260924
10347427;0.2194956
10332057;0.21869788
11303915;0.21814004
11292079;0.21342058
10608907;0.20939569
10336772;0.20790432
10650306;0.20697114
10285694;0.20428427
8511395;0.2034269
10411020;0.20305154
11745705;0.19677785
19227044;0.19507086
8930198;0.19179367
10643426;0.18627506
12107507;0.18504691
19192689;0.17208916
11646089;0.17183007
155;0.16660373
8222884;0.14911187
10643284;0.14812389
247;0.13892667
8802081;0.12440243
12017827;0.11748825
18629173;0.11291748
154;0.11149144
10610858;0.091799185
10465649;0.07657017
152;0.024518892
8530237;0.013885558
286;0.0
147;0.0
10597029;0.0
136;0.0
18620530;0.0
10700156;0.0
134;0.0
